id,name,category,subcategory,latitude,longitude,addressOrFrontage,onKalakaua,onWaikikiBeach,scopeDecision,scopeNotes,tags,priority,sourceConfidence,culturalImportance,historicImportance,visualProminence,driveByValue,sensitivity,safetyFlags,evergreen,freshness,eventStartDate,eventEndDate,recurrence,sourceName,sourceURL,narration
poi-twin-fin-hotel,The Twin Fin Hotel,landmark,surf_hotel,21.2728,-157.8222,2570 Kalakaua Ave,True,False,keep,Official Kalakaua address near the route end.,"architecture, hotel, kalakaua-avenue, kuhio-beach, landmark, surf",2,0.84,0.28,0.26,0.59,0.64,normal,,True,evergreen,,,,The Twin Fin,https://www.twinfinwaikiki.com/about/,The Twin Fin leans into Waikiki surf culture from the Diamond Head end of Kalakaua near Kuhio Beach.
poi-sans-souci-beach,Sans Souci / Kaimana Beach,nature,beach,21.2649,-157.8204,Diamond Head end of Waikiki Beach,False,True,keep_edge,Strict beach-corridor item; not on the Kalakaua driving route.,"kaimana, nature, park, sans-souci, swimming, waikiki-beach",2,0.84,0.28,0.26,0.59,0.45,normal,,True,evergreen,,,,To-Hawaii,https://www.to-hawaii.com/oahu/beaches/sanssoucibeach.php,"Sans Souci, also known as Kaimana Beach, is the quieter Diamond Head end of Waikiki's beach corridor."
poi-dukes-waikiki,Duke's Waikiki,food,beachfront_restaurant,21.2769,-157.8275,2335 Kalakaua Ave,True,True,keep,Beachfront restaurant inside Outrigger Waikiki Beach Resort.,"duke-kahanamoku, food, kalakaua-avenue, live-music, local-business, waikiki-beach",4,0.84,0.56,0.52,0.35,0.45,normal,,True,evergreen,,,,Duke's Waikiki,https://www.dukeswaikiki.com/,"Duke's Waikiki puts food, live music, and Duke Kahanamoku memorabilia directly on the Outrigger's beachfront edge."
poi-hula-grill-waikiki,Hula Grill Waikiki,food,beachfront_restaurant,21.2769,-157.8275,2335 Kalakaua Ave,True,True,keep,Beachfront dining at the Outrigger Waikiki Beach Resort address.,"food, kalakaua-avenue, local-business, local-ingredients, waikiki-beach",3,0.84,0.42,0.39,0.35,0.45,normal,,True,evergreen,,,,Hula Grill Waikiki,https://www.hulagrillwaikiki.com/,"Hula Grill sits above the Outrigger beach walk, framing local-style food with a direct Waikiki Beach view."
poi-monkeypod-waikiki,Monkeypod Kitchen Waikiki,food,restaurant,21.27948,-157.830062,"2201 Kalakaua Ave, Royal Hawaiian Center",True,False,keep,Located in Royal Hawaiian Center on Kalakaua Avenue.,"food, hawaii-regional, kalakaua-avenue, local-business, royal-hawaiian-center",3,0.84,0.42,0.39,0.35,0.45,normal,,True,evergreen,,,,Monkeypod Kitchen,https://monkeypodkitchen.com/locations/waikiki/,"Monkeypod brings a Hawaii regional menu into Royal Hawaiian Center, giving the Kalakaua retail core a food stop with local sourcing cues."
poi-restaurant-suntory,Restaurant Suntory,food,japanese_restaurant,21.27948,-157.830062,2233 Kalakaua Ave / Royal Hawaiian Center,True,False,keep,Official site lists a Kalakaua Avenue Waikiki address.,"food, japanese, kalakaua-avenue, local-business, royal-hawaiian-center",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Restaurant Suntory,https://restaurantsuntory.com/,Restaurant Suntory adds a long-running Japanese dining layer to Royal Hawaiian Center's Kalakaua food scene.
poi-doraku-sushi-waikiki,Doraku Sushi Waikiki,food,sushi,21.27948,-157.830062,"Royal Hawaiian Center, Kalakaua/Seaside",True,False,keep,Source places it in Royal Hawaiian Center with escalator access at Kalakaua and Seaside.,"food, japanese, kalakaua-avenue, local-business, royal-hawaiian-center",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Doraku Sushi,https://dorakusushi.com/waikiki/,Doraku Sushi sits above the Kalakaua and Seaside corner inside Royal Hawaiian Center.
poi-stripsteak-waikiki,STRIPSTEAK Waikiki,food,restaurant,21.277459,-157.826838,"2330 Kalakaua Ave, International Market Place",True,False,keep,Official site lists International Market Place / Kalakaua Avenue.,"food, international-market-place, kalakaua-avenue, local-business",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Mina Group,https://theminagroup.com/restaurants/stripsteak-waikiki/,STRIPSTEAK brings a Michael Mina steakhouse layer to International Market Place's Grand Lanai above Kalakaua.
poi-lulus-waikiki,Lulu's Waikiki,food,beach_view_restaurant,21.2724,-157.8221,2586 Kalakaua Ave,True,False,keep,Official address is on Kalakaua across from Waikiki/Kuhio Beach.,"beach-view, food, kalakaua-avenue, kuhio-beach, local-business",3,0.84,0.42,0.39,0.35,0.45,normal,,True,evergreen,,,,Lulu's Waikiki,https://www.luluswaikiki.com/,"Lulu's sits across from Kuhio Beach at the Diamond Head end of Kalakaua, with an open-air view over the beach edge."
poi-big-island-burger-waikiki,Big Island Burger Waikiki,food,casual_food,21.2793,-157.8285,2250 Kalakaua Ave,True,False,keep,Official site lists the Waikiki Shopping Plaza / Kalakaua address.,"burger, food, kalakaua-avenue, local-business, waikiki-shopping-plaza",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Big Island Burger,https://bigislandburger.net/,Big Island Burger adds a casual local-beef food stop to Waikiki Shopping Plaza on Kalakaua.
event-kuhio-beach-hula-show,Kuhio Beach Hula Show,event,recurring_cultural_performance,21.2767,-157.8259,Kuhio Beach Hula Mound,True,True,keep_event,Recurring event at the beachside hula mound along Kalakaua.,"event, hula, kalakaua-avenue, kuhio-beach, music, recurring-event, time-sensitive",5,0.84,0.7,0.65,0.35,0.45,normal,,False,recurring_schedule,,,"Tuesdays and Saturdays, weather permitting",Kuhio Beach Hula Show,https://kbhulashow.wixsite.com/official?_escaped_fragment_=schedule%2Fc21r&lightbox=image1g4t,The Kuhio Beach Hula Show brings free Hawaiian music and hula to the beachside mound on Tuesday and Saturday evenings.
event-pan-pacific-festival-2026,Pan-Pacific Festival 2026,event,upcoming_festival,21.2785,-157.8279,Kalakaua Avenue,True,False,keep_event,Official festival page places the parade along Kalakaua Avenue.,"event, festival, kalakaua-avenue, parade, street-party, time-sensitive, upcoming-event",5,0.84,0.7,0.65,0.35,0.45,normal,,False,dated_2026,2026-06-12,2026-06-14,,Pan-Pacific Festival,https://www.panpacificfestival.org/event/pan-pacific-parade/,"The Pan-Pacific Festival returns June 12-14, 2026, with Kalakaua Avenue as the main parade and street-festival spine."
event-king-kamehameha-floral-parade-2026,King Kamehameha Celebration Floral Parade 2026,event,upcoming_parade,21.2785,-157.8279,Kalakaua Avenue parade route,True,False,keep_event,Current event listing names Kalakaua Avenue in the parade route.,"event, kalakaua-avenue, king-kamehameha, parade, time-sensitive, upcoming-event",4,0.84,0.56,0.52,0.35,0.45,normal,,False,dated_2026,2026-06-13,2026-06-13,,Culture and Arts on Oahu,https://www.thecreativecity.org/events/acpjyd5x49ztlpl-8adf4-ppjm6-8k72k-wgc62-cd5zh-rzj4f-74gzb-29ykd-4t5cm-63843-y84dj-hnas6-zjwwm-b3ekn-j3gg4-9f9lt-ljlbm-hn22x,"On June 13, 2026, the King Kamehameha Floral Parade is scheduled to continue onto Kalakaua Avenue before ending near Monsarrat."
event-aloha-festivals-floral-parade-2026,Aloha Festivals Floral Parade 2026,event,upcoming_parade,21.2785,-157.8279,Kalakaua Avenue parade route,True,False,keep_event,Official event page lists Kalakaua Avenue as the parade route.,"aloha-festivals, event, kalakaua-avenue, parade, time-sensitive, upcoming-event",4,0.84,0.56,0.52,0.35,0.45,normal,,False,dated_2026,2026-09-26,2026-09-26,,Aloha Festivals,https://www.alohafestivals.com/floral-parade/,The 2026 Aloha Festivals Floral Parade is scheduled to travel from Ala Moana Park along Kalakaua Avenue to Kapiolani Park.
event-royal-hawaiian-center-cultural-programming,Royal Hawaiian Center Cultural Programming,event,recurring_cultural_activity,21.27948,-157.830062,2201 Kalakaua Ave,True,False,keep_event,Official events page for a Kalakaua Avenue center.,"event, hula, kalakaua-avenue, lei, recurring-event, time-sensitive, ukulele",3,0.84,0.42,0.39,0.35,0.45,normal,,False,recurring_schedule,,,Recurring cultural activities; verify day/time before narration,Royal Hawaiian Center,https://www.royalhawaiiancenter.com/events,"Royal Hawaiian Center regularly stages cultural activities such as hula, music, ukulele, lei-making, and keiki programs in the Kalakaua retail core."
event-royal-hawaiian-ahaaina-luau,Ahaaina Luau at The Royal Hawaiian,event,recurring_luau,21.277333,-157.828968,2259 Kalakaua Ave,True,True,keep_event,Recurring event at a Kalakaua hotel with beach frontage.,"event, food, hula, kalakaua-avenue, luau, time-sensitive, waikiki-beach",3,0.84,0.42,0.39,0.35,0.45,normal,,False,recurring_schedule,,,Mondays and Thursdays per source; verify before live use,The Royal Hawaiian,https://www.royal-hawaiian.com/dining-overview/ahaaina-luau/,"The Royal Hawaiian's Ahaaina luau pairs food, hula, music, and storytelling on the Pink Palace's Waikiki Beach frontage."
event-waikiki-friday-fireworks,Waikiki Friday Fireworks,event,recurring_fireworks,21.2836,-157.8355,Duke Kahanamoku Beach / western Waikiki Beach,False,True,keep_edge_event,Beach-visible recurring event at the western Waikiki shoreline; not on the Kalakaua driving route.,"event, fireworks, friday, recurring-event, time-sensitive, waikiki-beach",3,0.84,0.42,0.39,0.35,0.45,normal,,False,recurring_schedule,,,Friday evenings; verify time before narration,Hilton Hawaiian Village,https://hiltonhawaiianvillage.com/events/friday-night-fireworks/,Friday night fireworks launch from the Hilton Hawaiian Village beachfront and are often visible along western Waikiki Beach.
